Code,Type,Number,Brand,Model,Cc,Year,Comment,Picture
"907","ABSC","3","CITROEN","JUMPER 2.5D 31MH","0","1997","-","0907 ABSC03.jpg"
"907","ABTD","2","MERCEDES-BENZ","VITO","0","2000","-","0907-ABTD 02.jpg"
"907","ABSC","2","MERCEDES-BENZ","208D/30","0","1994","-","0907 ABSC02.jpg"
"906","ABSC","1","CITROEN","C25D 1400 280 B50 S-","0","1990","-","0906-ABSC 01.jpg"
"906","ABSC","2","IVECO","35E8VA(T1.88)RS DAIL","0","1997","-","0906-ABSC 02.jpg"
"906","VOPE","2","VOLKSWAGEN","TRANSPORTER","0","2000","-","0906 VOPE02.jpg"
"906","ABSC","3","MERCEDES-BENZ","SPRINTER","0","2000","-","0906-ABSC 03.jpg"
"906","ABTD","8","FORD","TRANSIT L100 VAN","0","1992","-","0906-ABTD 08.jpg"
"906","ABTD","10","MERCEDES-BENZ","?250D-T124","0","1987","-","0906-ABTD 10.jpg"
"906","VLCI","4","TOYOTA","LAND CRUISER BJ45","600","1985","-","0906 VLCI04.jpg"
"906","VFCI","1","RENAULT","110-150 4X4","3500","1983","-","0906 VFCI01.jpg"
"906","ABTD","12","MERCEDES-BENZ","VITO","0","2000","-","0906-ABTD 12.jpg"
"906","ABTD","13","PEUGEOT","PARTENER","0","2000","-","0906-ABTD 13.jpg"
"906","ABTD","11","MERCEDES-BENZ","250D-T124","0","2000","-","0906 ABTD11.jpg"
"906","ABTD","14","PEUGEOT","PARTENER","0","2000","-","0906-ABTD 14.jpg"
"906","ABTD","15","FORD","TRANSIT L100 VAN","0","2000","-","0906-ABTD 15.jpg"
